,Barrio,Barrio Latitude,Barrio Longitude,Venue,Venue Latitude,Venue Longitude,Category
121,El Gòtic,41.3833947,2.1769119,Veritas,41.38477095968229,2.177811306944302,Organic Grocery
122,El Gòtic,41.3833947,2.1769119,Rasoterra,41.38120640974225,2.1781098452947383,Vegetarian / Vegan Restaurant
123,El Gòtic,41.3833947,2.1769119,Can Cisa / Bar Brutal,41.384776,2.179836,Wine Bar
124,El Gòtic,41.3833947,2.1769119,La Cua Curta,41.38459495148769,2.1801053778349724,Fondue Restaurant
125,El Gòtic,41.3833947,2.1769119,Giovanni,41.382411525642226,2.173923394700292,Ice Cream Shop
126,El Gòtic,41.3833947,2.1769119,Cinema Maldà,41.383197731153444,2.1739257683160678,Indie Movie Theater
127,El Gòtic,41.3833947,2.1769119,Plaça del Pi (Plaza del Pino),41.38249035285744,2.1741283557722055,Plaza
128,El Gòtic,41.3833947,2.1769119,Lomography Gallery Store Barcelona,41.38407740465793,2.1807861689998216,Camera Store
129,El Gòtic,41.3833947,2.1769119,Dr. Stravinsky,41.38418522903402,2.1806511894219662,Cocktail Bar
130,El Gòtic,41.3833947,2.1769119,Cafés El Magnífico,41.38358884695416,2.1809327872954074,Coffee Shop
131,El Gòtic,41.3833947,2.1769119,Maoz Vegetarian,41.380808968966356,2.1747846330241236,Falafel Restaurant
132,El Gòtic,41.3833947,2.1769119,Bun Bo Viêtnam,41.38501978094226,2.174978777093671,Vietnamese Restaurant
133,El Gòtic,41.3833947,2.1769119,The Wittmore,41.38096941463271,2.1796236050111135,Hotel
134,El Gòtic,41.3833947,2.1769119,Kӕlderkold,41.38172259074735,2.173348181966682,Beer Bar
135,El Gòtic,41.3833947,2.1769119,El Cercle,41.38464757405853,2.1742397027274025,Restaurant
136,El Gòtic,41.3833947,2.1769119,The Room,41.384117829664795,2.1734246115594256,Clothing Store
137,El Gòtic,41.3833947,2.1769119,Irati Taverna Basca,41.382021698145124,2.1734780986544435,Tapas Restaurant
138,El Gòtic,41.3833947,2.1769119,Macchina Pasta Bar,41.3801509166099,2.17684675323,Italian Restaurant
139,El Gòtic,41.3833947,2.1769119,Churrería Laietana,41.38633297476153,2.175559014250895,Café
140,El Gòtic,41.3833947,2.1769119,Mercat de Santa Caterina,41.386283537473496,2.1781790256500244,Market
141,El Gòtic,41.3833947,2.1769119,Bar del Pla,41.385700510607954,2.18008555820973,Spanish Restaurant
142,El Gòtic,41.3833947,2.1769119,Bacoa,41.38062487169596,2.174682158691744,Burger Joint
143,El Gòtic,41.3833947,2.1769119,HEMA,41.38333359312103,2.1727935052679337,Furniture / Home Store
144,El Gòtic,41.3833947,2.1769119,Dulcinea,41.38247196648243,2.1736025767797114,Café
145,El Gòtic,41.3833947,2.1769119,Collage Art & Cocktails Social Club,41.38262245305919,2.1814342938657414,Cocktail Bar
146,El Gòtic,41.3833947,2.1769119,Plaça Reial (Plaza Real),41.38010926480547,2.1752822399139404,Plaza
147,El Gòtic,41.3833947,2.1769119,Amorino,41.38335766330709,2.172532993761632,Ice Cream Shop
148,El Gòtic,41.3833947,2.1769119,Dionisos Quick Greek,41.38053754518315,2.1772970354280017,Greek Restaurant
149,El Gòtic,41.3833947,2.1769119,Bar Jardí,41.384071457735025,2.1728359870641984,Bar
150,El Gòtic,41.3833947,2.1769119,Vila Viniteca,41.38257420018804,2.1815779409406004,Wine Shop
151,El Gòtic,41.3833947,2.1769119,Liceu Opera Barcelona (Gran Teatro del Liceo),41.380713238498885,2.1736061650627523,Opera House
152,El Gòtic,41.3833947,2.1769119,L'antico Borgo Napoletano,41.380216065405705,2.1763422746703776,Pizza Place
153,El Gòtic,41.3833947,2.1769119,El Casal,41.38289168793761,2.1809184939297643,French Restaurant
154,El Gòtic,41.3833947,2.1769119,Cuines de Santa Caterina,41.38618596708021,2.1781562563564676,Mediterranean Restaurant
155,El Gòtic,41.3833947,2.1769119,El Xampanyet,41.3845584973843,2.181764044288262,Tapas Restaurant
156,El Gòtic,41.3833947,2.1769119,L'Antic Teatre,41.38716149218687,2.175979265248646,Beer Garden
157,El Gòtic,41.3833947,2.1769119,Demasié,41.385667968182226,2.180879852271949,Dessert Shop
158,El Gòtic,41.3833947,2.1769119,Sensi,41.38038824752991,2.179988551993155,Tapas Restaurant
159,El Gòtic,41.3833947,2.1769119,Topping Circus,41.38060709068606,2.1781777598588525,Ice Cream Shop
160,El Gòtic,41.3833947,2.1769119,Farmacia de la Estrella,41.3806640478255,2.1745940364006144,Pharmacy
161,El Gòtic,41.3833947,2.1769119,Miró Mosaic on the Rambla,41.38115751691078,2.1732798149710932,Plaza
162,El Gòtic,41.3833947,2.1769119,Granja La Pallaresa,41.382945270192295,2.172828391338975,Café
163,El Gòtic,41.3833947,2.1769119,Mercat de Sant Josep - La Boqueria,41.38195895111797,2.172010882862328,Market
