,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Category
117,"Garden District, Ryerson",43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
118,"Garden District, Ryerson",43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
119,"Garden District, Ryerson",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
120,"Garden District, Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
121,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
122,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
123,"Garden District, Ryerson",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
124,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
125,"Garden District, Ryerson",43.6571618,-79.37893709999999,Five Guys,43.657116518476315,-79.38085267976494,Burger Joint
126,"Garden District, Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
127,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
128,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
129,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
130,"Garden District, Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
131,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
132,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
133,"Garden District, Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
134,"Garden District, Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.654446920401455,-79.38095230798749,Shopping Mall
135,"Garden District, Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.3810108074576,Electronics Store
136,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
137,"Garden District, Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
138,"Garden District, Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
139,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
140,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
141,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
142,"Garden District, Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
143,"Garden District, Ryerson",43.6571618,-79.37893709999999,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
144,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
145,"Garden District, Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
146,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
147,"Garden District, Ryerson",43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366988,Lake
148,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
149,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
150,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
151,"Garden District, Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
152,"Garden District, Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
153,"Garden District, Ryerson",43.6571618,-79.37893709999999,SEPHORA,43.6535272,-79.3801543,Cosmetics Shop
154,"Garden District, Ryerson",43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
155,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65521877547618,-79.38094518163427,Tea Room
156,"Garden District, Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
157,"Garden District, Ryerson",43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.383621,Seafood Restaurant
158,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
159,"Garden District, Ryerson",43.6571618,-79.37893709999999,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
160,"Garden District, Ryerson",43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
161,"Garden District, Ryerson",43.6571618,-79.37893709999999,College Park Area,43.659453,-79.383785,Park
162,"Garden District, Ryerson",43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
163,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
164,"Garden District, Ryerson",43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
165,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marriott Downtown at CF Toronto Eaton Centre,43.654728444284025,-79.3824216350913,Hotel
166,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
167,"Garden District, Ryerson",43.6571618,-79.37893709999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store
168,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
169,"Garden District, Ryerson",43.6571618,-79.37893709999999,MAC Cosmetics,43.65405547492733,-79.38071368220903,Cosmetics Shop
170,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
171,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
172,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
173,"Garden District, Ryerson",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
174,"Garden District, Ryerson",43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
175,"Garden District, Ryerson",43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store
176,"Garden District, Ryerson",43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
177,"Garden District, Ryerson",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
178,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
179,"Garden District, Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
180,"Garden District, Ryerson",43.6571618,-79.37893709999999,Coco Fresh Tea & Juice,43.65865989038909,-79.38204032226336,Bubble Tea Shop
181,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65596912045543,-79.38268426666406,Coffee Shop
182,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom Ebar,43.654648676831954,-79.38057377013143,Coffee Shop
183,"Garden District, Ryerson",43.6571618,-79.37893709999999,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
184,"Garden District, Ryerson",43.6571618,-79.37893709999999,Urban Outfitters,43.65441107845698,-79.38005491917738,Clothing Store
185,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
186,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
187,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
188,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Square,43.656988428886045,-79.37689617296417,Other Great Outdoors
189,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store
190,"Garden District, Ryerson",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
191,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Basha Cafè,43.6566897,-79.3754589,Hookah Bar
